Date,Total,season_temp
01/08/1992,19559,6.339745962
01/09/1992,19500,5
01/10/1992,19615,6.339745962
01/11/1992,16814,10
01/12/1992,15698,15
01/01/1993,20273,20
01/02/1993,20774,23.66025404
01/03/1993,21309,25
01/04/1993,19377,23.66025404
01/05/1993,19211,20
01/06/1993,19103,15
01/07/1993,20086,10
01/08/1993,19758,6.339745962
01/09/1993,19162,5
01/10/1993,19371,6.339745962
01/11/1993,17709,10
01/12/1993,17342,15
01/01/1994,18772,20
01/02/1994,19363,23.66025404
01/03/1994,20001,25
01/04/1994,17112,23.66025404
01/05/1994,18027,20
01/06/1994,17173,15
01/07/1994,18024,10
01/08/1994,18983,6.339745962
01/09/1994,17983,5
01/10/1994,19151,6.339745962
01/11/1994,16427,10
01/12/1994,15461,15
01/01/1995,19191,20
01/02/1995,20008,23.66025404
01/03/1995,21702,25
01/04/1995,18649,23.66025404
01/05/1995,19169,20
01/06/1995,18631,15
01/07/1995,18157,10
01/08/1995,20187,6.339745962
01/09/1995,18660,5
01/10/1995,19920,6.339745962
01/11/1995,16680,10
01/12/1995,16018,15
01/01/1996,20322,20
01/02/1996,20613,23.66025404
01/03/1996,22704,25
01/04/1996,20276,23.66025404
01/05/1996,20669,20
01/06/1996,18074,15
01/07/1996,18719,10
01/08/1996,20217,6.339745962
01/09/1996,19642,5
01/10/1996,20842,6.339745962
01/11/1996,18204,10
01/12/1996,16898,15
01/01/1997,20746,20
01/02/1997,23058,23.66025404
01/03/1997,24624,25
01/04/1997,22154,23.66025404
01/05/1997,22444,20
01/06/1997,21471,15
01/07/1997,21866,10
01/08/1997,22548,6.339745962
01/09/1997,21518,5
01/10/1997,23408,6.339745962
01/11/1997,19645,10
01/12/1997,18278,15
01/01/1998,23576,20
01/02/1998,26650,23.66025404
01/03/1998,26207,25
01/04/1998,23195,23.66025404
01/05/1998,22960,20
01/06/1998,23002,15
01/07/1998,22973,10
01/08/1998,24089,6.339745962
01/09/1998,22805,5
01/10/1998,23241,6.339745962
01/11/1998,21581,10
01/12/1998,21119,15
01/01/1999,23107,20
01/02/1999,25780,23.66025404
01/03/1999,28544,25
01/04/1999,23488,23.66025404
01/05/1999,23964,20
01/06/1999,23720,15
01/07/1999,25069,10
01/08/1999,24618,6.339745962
01/09/1999,24430,5
01/10/1999,25229,6.339745962
01/11/1999,22344,10
01/12/1999,22372,15
01/01/2000,25412,20
01/02/2000,25354,23.66025404
01/03/2000,29161,25
01/04/2000,24924,23.66025404
01/05/2000,24763,20
01/06/2000,25342,15
01/07/2000,24911,10
01/08/2000,25847,6.339745962
01/09/2000,23743,5
01/10/2000,25036,6.339745962
01/11/2000,21911,10
01/12/2000,20752,15
01/01/2001,24507,20
01/02/2001,25968,23.66025404
01/03/2001,28752,25
01/04/2001,25167,23.66025404
01/05/2001,24728,20
01/06/2001,23690,15
01/07/2001,24816,10
01/08/2001,26004,6.339745962
01/09/2001,24210,5
01/10/2001,25083,6.339745962
01/11/2001,21807,10
01/12/2001,21635,15
01/01/2002,27173,20
01/02/2002,29308,23.66025404
01/03/2002,28645,25
01/04/2002,25023,23.66025404
01/05/2002,27261,20
01/06/2002,24670,15
01/07/2002,26441,10
01/08/2002,27961,6.339745962
01/09/2002,26498,5
01/10/2002,27800,6.339745962
01/11/2002,23939,10
01/12/2002,22930,15
01/01/2003,27584,20
01/02/2003,27586,23.66025404
01/03/2003,30485,25
01/04/2003,26135,23.66025404
01/05/2003,27370,20
01/06/2003,25487,15
01/07/2003,26427,10
01/08/2003,27672,6.339745962
01/09/2003,26853,5
01/10/2003,27875,6.339745962
01/11/2003,23416,10
01/12/2003,22482,15
01/01/2004,27140,20
01/02/2004,28526,23.66025404
01/03/2004,28845,25
01/04/2004,25033,23.66025404
01/05/2004,24764,20
01/06/2004,24896,15
01/07/2004,24623,10
01/08/2004,26538,6.339745962
01/09/2004,24674,5
01/10/2004,25863,6.339745962
01/11/2004,23156,10
01/12/2004,22721,15
01/01/2005,26204,20
01/02/2005,26526,23.66025404
01/03/2005,27473,25
01/04/2005,24536,23.66025404
01/05/2005,25764,20
01/06/2005,25154,15
01/07/2005,23729,10
01/08/2005,25336,6.339745962
01/09/2005,24649,5
01/10/2005,25904,6.339745962
01/11/2005,22868,10
01/12/2005,21825,15
01/01/2006,26955,20
01/02/2006,27349,23.66025404
01/03/2006,29367,25
01/04/2006,24071,23.66025404
01/05/2006,23173,20
01/06/2006,21740,15
01/07/2006,22056,10
01/08/2006,23923,6.339745962
01/09/2006,22189,5
01/10/2006,22458,6.339745962
01/11/2006,19476,10
01/12/2006,21056,15
01/01/2007,22842,20
01/02/2007,22943,23.66025404
01/03/2007,23445,25
01/04/2007,19176,23.66025404
01/05/2007,22058,20
01/06/2007,19451,15
01/07/2007,20378,10
01/08/2007,21778,6.339745962
01/09/2007,20431,5
01/10/2007,22486,6.339745962
01/11/2007,18889,10
01/12/2007,18574,15
01/01/2008,24658,20
01/02/2008,24997,23.66025404
01/03/2008,23987,25
01/04/2008,21199,23.66025404
01/05/2008,21205,20
01/06/2008,21553,15
01/07/2008,21166,10
01/08/2008,20720,6.339745962
01/09/2008,18067,5
01/10/2008,21121,6.339745962
01/11/2008,16617,10
01/12/2008,15917,15
01/01/2009,19262,20
01/02/2009,20658,23.66025404
01/03/2009,22660,25
01/04/2009,20147,23.66025404
01/05/2009,18818,20
01/06/2009,19017,15
01/07/2009,19451,10
01/08/2009,18502,6.339745962
01/09/2009,18893,5
01/10/2009,19480,6.339745962
01/11/2009,15743,10
01/12/2009,16554,15
01/01/2010,19465,20
01/02/2010,22617,23.66025404
01/03/2010,22438,25
01/04/2010,18511,23.66025404
01/05/2010,19142,20
01/06/2010,19063,15
01/07/2010,18006,10
01/08/2010,20386,6.339745962
01/09/2010,20280,5
01/10/2010,18894,6.339745962
01/11/2010,15941,10
01/12/2010,16851,15
01/01/2011,18204,20
01/02/2011,15564,23.66025404
01/03/2011,17984,25
01/04/2011,13979,23.66025404
01/05/2011,12591,20
01/06/2011,12408,15
01/07/2011,12779,10
01/08/2011,14233,6.339745962
01/09/2011,13410,5
01/10/2011,12893,6.339745962
01/11/2011,11843,10
01/12/2011,11321,15
01/01/2012,13427,20
01/02/2012,14447,23.66025404
01/03/2012,14717,25
01/04/2012,11998,23.66025404
01/05/2012,13379,20
01/06/2012,12463,15
01/07/2012,13276,10
01/08/2012,14442,6.339745962
01/09/2012,13422,5
01/10/2012,13795,6.339745962
01/11/2012,13352,10
01/12/2012,12716,15
